sample	tag	treatment	site	species	condition	treated	month	year	tabled	GenBank accession
BS3-2365-DD-A	2365	none	BS3	MCAV	DD	NO	July	2021	20257	
BS3-2365-DD-B	2365	control paste and bag	BS3	MCAV	DD	NO	Aug	2021	3313	
BS3-2365-DD-C	2365	control paste and bag	BS3	MCAV	DD	NO	Nov	2021	39966	
BS3-2365-HD-A	2365	none	BS3	MCAV	HD	NO	July	2021	1710	
BS3-2365-HD-B	2365	control paste and bag	BS3	MCAV	HD	NO	Aug	2021	36434	
BS3-2365-HD-C	2365	control paste and bag	BS3	MCAV	HD	NO	Nov	2021	7722	
BS3-2366-DD-A	2366	none	BS3	MCAV	DD	NO	July	2021	3178	
BS3-2366-DD-B	2366	control paste and bag	BS3	MCAV	DD	NO	Aug	2021	16952	
BS3-2366-DD-C	2366	control paste and bag	BS3	MCAV	DD	NO	Nov	2021	8247	
BS3-2366-HD-A	2366	none	BS3	MCAV	HD	NO	July	2021	16164	
BS3-2366-HD-B	2366	control paste and bag	BS3	MCAV	HD	NO	Aug	2021	7009	
BS3-2366-HD-C	2366	control paste and bag	BS3	MCAV	HD	NO	Nov	2021	20994	
BS3-2429-DD-A	2429	none	BS3	MCAV	DD	NO	July	2021	4922	
BS3-2429-DD-B	2429	control paste and bag	BS3	MCAV	DD	NO	Aug	2021	30267	
BS3-2429-DD-C	2429	control paste and bag	BS3	MCAV	DD	NO	Nov	2021	10115	
BS3-2429-HD-A	2429	none	BS3	MCAV	HD	NO	July	2021	7633	
BS3-2429-HD-B	2429	control paste and bag	BS3	MCAV	HD	NO	Aug	2021	8212	
BS3-2429-HD-C	2429	control paste and bag	BS3	MCAV	HD	NO	Nov	2021	2825	
BS3-2451-DD-A	2451	none	BS3	MCAV	DD	NO	July	2021	1515	
BS3-2451-DD-B	2451	none	BS3	MCAV	DD	NO	Aug	2021	17283	
BS3-2451-HD-A	2451	none	BS3	MCAV	HD	NO	Nov	2021	3306	
BS3-2451-HD-B	2451	none	BS3	MCAV	HD	NO	Aug	2021	4103	
BS3-2451-HH-C	2451	none	BS3	MCAV	HH	NO	Nov	2021	1599	
BS3-2503-HH-A	2503	none	BS3	MCAV	HH	NO	July	2021	26133	
BS3-2503-HH-B	2503	none	BS3	MCAV	HH	NO	Aug	2021	31805	
BS3-2503-HH-C	2503	none	BS3	MCAV	HH	NO	Nov	2021	4270	
BS3-2504-HH-A	2504	none	BS3	MCAV	HH	NO	July	2021	3376	
BS3-2504-HH-B	2504	none	BS3	MCAV	HH	NO	Aug	2021	11590	
BS3-2504-HH-C	2504	none	BS3	MCAV	HH	NO	Nov	2021	9181	
BS3-2505-DD-B	2505	none	BS3	MCAV	DD	NO	Aug	2021	10378	
BS3-2505-DD-C	2505	none	BS3	MCAV	DD	NO	Nov	2021	14519	
BS3-2505-HD-B	2505	none	BS3	MCAV	HD	NO	Aug	2021	3305	
BS3-2505-HD-C	2505	none	BS3	MCAV	HD	NO	Nov	2021	16304	
BS3-2506-DD-A	2506	none	BS3	MCAV	DD	NO	July	2021	2293	
BS3-2506-DD-AA	2506	none	BS3	MCAV	DD	NO	July	2021	1459	
BS3-2506-DD-B	2506	none	BS3	MCAV	DD	NO	Aug	2021	4540	
BS3-2506-HD-A	2506	none	BS3	MCAV	HD	NO	July	2021	1844	
BS3-2506-HD-AA	2506	none	BS3	MCAV	HD	NO	July	2021	1031	
BS3-2506-HD-B	2506	none	BS3	MCAV	HD	NO	Aug	2021	3751	
BS3-2506-HH-C	2506	none	BS3	MCAV	HH	YES	Nov	2021	3131	
BS3-2507-DD-A	2507	none	BS3	MCAV	DD	NO	July	2021	6088	
BS3-2507-DD-B	2507	none	BS3	MCAV	DD	NO	Aug	2021	30199	
BS3-2507-DD-C	2507	none	BS3	MCAV	DD	NO	Nov	2021	2533	
BS3-2507-HD-A	2507	none	BS3	MCAV	HD	NO	July	2021	6226	
BS3-2507-HD-B	2507	none	BS3	MCAV	HD	NO	Aug	2021	6807	
BS3-2507-HD-C	2507	none	BS3	MCAV	HD	NO	Nov	2021	13505	
BS3-2512-DD-A	2512	none	BS3	MCAV	DD	NO	July	2021	3711	
BS3-2512-HD-A	2512	none	BS3	MCAV	HD	NO	July	2021	1557	
BS3-2512-HH-B	2512	probiotic paste and bag	BS3	MCAV	HH	YES	Aug	2021	11092	
BS3-2512-HH-C	2512	probiotic paste and bag	BS3	MCAV	HH	YES	Nov	2021	1092	
BS3-2513-DD-A	2513	none	BS3	MCAV	DD	NO	July	2021	16868	
BS3-2513-DD-B	2513	probiotic paste and bag	BS3	MCAV	DD	YES	Aug	2021	38614	
BS3-2513-DD-C	2513	probiotic paste and bag	BS3	MCAV	DD	YES	Nov	2021	7557	
BS3-2513-HD-A	2513	none	BS3	MCAV	HD	NO	July	2021	4729	
BS3-2513-HD-B	2513	probiotic paste and bag	BS3	MCAV	HD	YES	Aug	2021	8162	
BS3-2513-HD-C	2513	probiotic paste and bag	BS3	MCAV	HD	YES	Nov	2021	4070	
BS3-2516-DD-A	2516	none	BS3	MCAV	DD	NO	July	2021	2544	
BS3-2516-DD-B	2516	none	BS3	MCAV	DD	NO	Aug	2021	16588	
BS3-2516-DD-C	2516	none	BS3	MCAV	DD	NO	Nov	2021	24494	
BS3-2516-HD-A	2516	none	BS3	MCAV	HD	NO	July	2021	4571	
BS3-2516-HD-B	2516	none	BS3	MCAV	HD	NO	Aug	2021	6980	
BS3-2516-HD-C	2516	none	BS3	MCAV	HD	NO	Nov	2021	19525	
BS3-2517-HH-A	2517	none	BS3	MCAV	HH	NO	July	2021	3373	
BS3-2517-HH-B	2517	none	BS3	MCAV	HH	NO	Aug	2021	2583	
BS3-2517-HH-C	2517	none	BS3	MCAV	HH	NO	Nov	2021	2625	
BS3-2549-DD-A	2549	none	BS3	MCAV	DD	NO	July	2021	10716	
BS3-2549-HD-A	2549	none	BS3	MCAV	HD	NO	July	2021	5659	
BS3-2549-HH-B	2549	none	BS3	MCAV	HH	NO	Aug	2021	20098	
BS3-2549-HH-C	2549	none	BS3	MCAV	HH	NO	Nov	2021	2533	
BS3-2562-DD-A	2562	none	BS3	MCAV	DD	NO	July	2021	3484	
BS3-2564-HH-A	2564	none	BS3	MCAV	HH	NO	July	2021	3477	
BS3-2564-HH-B	2564	none	BS3	MCAV	HH	NO	Aug	2021	2370	
BS3-2564-HH-C	2564	none	BS3	MCAV	HH	NO	Nov	2021	2136	
BS3-2565-HH-A	2565	none	BS3	MCAV	HH	NO	July	2021	3503	
BS3-2565-HH-B	2565	none	BS3	MCAV	HH	NO	Aug	2021	1436	
BS3-2565-HH-C	2565	none	BS3	MCAV	HH	NO	Nov	2021	2577	
BS3-2568-DD-A	2568	none	BS3	MCAV	DD	NO	July	2021	10474	
BS3-2568-DD-B	2568	probiotic paste and bag	BS3	MCAV	DD	YES	Aug	2021	31827	
BS3-2568-DD-C	2568	probiotic paste and bag	BS3	MCAV	DD	YES	Nov	2021	13527	
BS3-2568-HD-A	2568	none	BS3	MCAV	HD	NO	July	2021	7665	
BS3-2568-HD-B	2568	probiotic paste and bag	BS3	MCAV	HD	YES	Aug	2021	6062	
BS3-2568-HD-C	2568	probiotic paste and bag	BS3	MCAV	HD	YES	Nov	2021	3585	
BS3-2569-DD-A	2569	none	BS3	MCAV	DD	NO	July	2021	10546	
BS3-2569-DD-B	2569	control paste and bag	BS3	MCAV	DD	NO	Aug	2021	10580	
BS3-2569-HD-A	2569	none	BS3	MCAV	HD	NO	July	2021	2234	
BS3-2569-HD-B	2569	control paste and bag	BS3	MCAV	HD	NO	Aug	2021	1564	
BS3-2569-HH-C	2569	control paste and bag	BS3	MCAV	HH	NO	Nov	2021	5102	
BS3-2581-DD-A	2581	none	BS3	MCAV	DD	NO	July	2021	14360	
BS3-2581-DD-B	2581	control paste and bag	BS3	MCAV	DD	NO	Aug	2021	14841	
BS3-2581-DD-C	2581	control paste and bag	BS3	MCAV	DD	NO	Nov	2021	11159	
BS3-2581-HD-A	2581	none	BS3	MCAV	HD	NO	July	2021	7928	
BS3-2581-HD-B	2581	control paste and bag	BS3	MCAV	HD	NO	Aug	2021	5239	
BS3-2581-HD-C	2581	control paste and bag	BS3	MCAV	HD	NO	Nov	2021	3332	
BS3-2615-H-A	2615	none	BS3	MCAV	HH	NO	July	2021	4733	
BS3-2615-H-B	2615	resistant	BS3	MCAV	HH	NO	Aug	2021	3339	
BS3-2615-H-C	2615	resistant	BS3	MCAV	HH	NO	Nov	2021	2783	
BS3-2628-H-A	2628	none	BS3	MCAV	HH	NO	July	2021	4171	
BS3-2628-H-B	2628	resistant	BS3	MCAV	HH	NO	Aug	2021	3391	
BS3-2628-H-C	2628	resistant	BS3	MCAV	HH	NO	Nov	2021	2836	
BS3-2629-DD-A	2629	none	BS3	MCAV	DD	NO	July	2021	4133	
BS3-2629-DD-B	2629	none	BS3	MCAV	DD	NO	Aug	2021	43454	
BS3-2629-HD-A	2629	none	BS3	MCAV	HD	NO	July	2021	6782	
BS3-2629-HD-B	2629	none	BS3	MCAV	HD	NO	Aug	2021	24715	
BS3-2629-HH-C	2629	none	BS3	MCAV	HH	NO	Nov	2021	25657	
BS3-2631-H-A	2631	none	BS3	MCAV	HH	NO	July	2021	26461	
BS3-2631-H-B	2631	resistant	BS3	MCAV	HH	NO	Aug	2021	22639	
BS3-2631-H-C	2631	resistant	BS3	MCAV	HH	NO	Nov	2021	8360	
BS3-2634-DD-A	2634	none	BS3	MCAV	DD	NO	July	2021	2024	
BS3-2634-DD-B	2634	none	BS3	MCAV	DD	NO	Aug	2021	29280	
BS3-2634-DD-C	2634	none	BS3	MCAV	DD	NO	Nov	2021	17673	
BS3-2634-HD-A	2634	none	BS3	MCAV	HD	NO	July	2021	2556	
BS3-2634-HD-B	2634	none	BS3	MCAV	HD	NO	Aug	2021	3698	
BS3-2634-HD-C	2634	none	BS3	MCAV	HD	NO	Nov	2021	3547	
BS3-2635-DD-A	2635	none	BS3	MCAV	DD	NO	July	2021	4460	
BS3-2635-DD-B	2635	none	BS3	MCAV	DD	NO	Aug	2021	13927	
BS3-2635-DD-C	2635	none	BS3	MCAV	DD	NO	Nov	2021	16183	
BS3-2635-HD-A	2635	none	BS3	MCAV	HD	NO	July	2021	2403	
BS3-2635-HD-B	2635	none	BS3	MCAV	HD	NO	Aug	2021	5759	
BS3-2635-HD-C	2635	none	BS3	MCAV	HD	NO	Nov	2021	2262	
BS3-2688-DD-A	2688	none	BS3	MCAV	DD	NO	July	2021	23100	
BS3-2688-DD-B	2688	none	BS3	MCAV	DD	NO	Aug	2021	17513	
BS3-2688-HD-A	2688	none	BS3	MCAV	HD	NO	July	2021	7492	
BS3-2688-HD-B	2688	none	BS3	MCAV	HD	NO	Aug	2021	22328	
BS3-2688-HH-C	2688	none	BS3	MCAV	HH	NO	Nov	2021	2496	
BS3-2697-H-A	2697	none	BS3	MCAV	HH	NO	July	2021	2008	
BS3-2697-H-B	2697	resistant	BS3	MCAV	HH	NO	Aug	2021	4883	
BS3-2697-H-C	2697	resistant	BS3	MCAV	HH	NO	Nov	2021	5866	
BS3-2698-H-A	2698	none	BS3	MCAV	HH	NO	July	2021	3269	
BS3-2698-H-B	2698	resistant	BS3	MCAV	HH	NO	Aug	2021	36067	
BS3-2698-H-C	2698	resistant	BS3	MCAV	HH	NO	Nov	2021	1641	
BS3-2753-DD-A	2753	none	BS3	MCAV	DD	NO	July	2021	28703	
BS3-2753-DD-B	2753	none	BS3	MCAV	DD	NO	Aug	2021	41982	
BS3-2753-DD-C	2753	none	BS3	MCAV	DD	NO	Nov	2021	34647	
BS3-2753-HD-A	2753	none	BS3	MCAV	HD	NO	July	2021	7249	
BS3-2753-HD-B	2753	none	BS3	MCAV	HD	NO	Aug	2021	13069	
BS3-2753-HD-C	2753	none	BS3	MCAV	HD	NO	Nov	2021	20676	
BS3-2769-DD-A	2769	none	BS3	MCAV	DD	NO	July	2021	31982	
BS3-2769-H-B	2769	probiotic paste and bag	BS3	MCAV	HH	YES	Aug	2021	11121	
BS3-2769-HD-A	2769	none	BS3	MCAV	HD	NO	July	2021	2935	
BS3-2769-HD-C	2769	none	BS3	MCAV	HD	NO	Nov	2021	7503	
BS3-2769-HH-C	2769	probiotic paste and bag	BS3	MCAV	HH	YES	Nov	2021	1490	
BS3-2799-DD-A	2799	none	BS3	MCAV	DD	NO	July	2021	39658	
BS3-2799-DD-B	2799	control paste and bag	BS3	MCAV	DD	NO	Aug	2021	37234	
BS3-2799-DD-C	2799	control paste and bag	BS3	MCAV	DD	NO	Nov	2021	22810	
BS3-2799-HD-A	2799	none	BS3	MCAV	HD	NO	July	2021	32592	
BS3-2799-HD-B	2799	control paste and bag	BS3	MCAV	HD	NO	Aug	2021	1846	
BS3-2799-HD-C	2799	control paste and bag	BS3	MCAV	HD	NO	Nov	2021	10664	
BS3-2814-HD-C	2814	none	BS3	MCAV	HD	NO	Nov	2021	7040	
BS3-2832-HH-B	2832	none	BS3	MCAV	HH	NO	Aug	2021	3105	
BS3-2832-HH-A	2832	none	BS3	MCAV	HH	NO	July	2021	5512	
BS3-2832-HH-C	2832	none	BS3	MCAV	HH	NO	Nov	2021	4135	
BS3-2834-DD-B	2834	none	BS3	MCAV	DD	NO	Aug	2021	18308	
BS3-2834-DD-C	2834	none	BS3	MCAV	DD	NO	Nov	2021	9980	
BS3-2834-HD-B	2834	none	BS3	MCAV	HD	NO	Aug	2021	2484	
BS3-2834-HD-C	2834	none	BS3	MCAV	HD	NO	Nov	2021	2787	
BS3-2848-HH-A	2848	none	BS3	MCAV	HH	NO	July	2021	1562	
BS3-2848-HH-B	2848	none	BS3	MCAV	HH	NO	Aug	2021	1338	
BS3-2848-HH-C	2848	none	BS3	MCAV	HH	NO	Nov	2021	1525	
BS3-2880-DD-A	2880	none	BS3	MCAV	DD	NO	July	2021	13718	
BS3-2880-HD-A	2880	none	BS3	MCAV	HD	NO	July	2021	4464	
BS3-2880-HH-B	2880	none	BS3	MCAV	HH	NO	Aug	2021	1077	
BS3-2880-HH-C	2880	none	BS3	MCAV	HH	NO	Nov	2021	5204	
BS3-2896-HH-A	2896	none	BS3	MCAV	HH	NO	July	2021	3573	
BS3-2896-HH-B	2896	none	BS3	MCAV	HH	NO	Aug	2021	2619	
BS3-2896-HH-C	2896	none	BS3	MCAV	HH	NO	Nov	2021	4735	
BS3-2897-HH-A	2897	none	BS3	MCAV	HH	NO	July	2021	3615	
BS3-2897-HH-B	2897	none	BS3	MCAV	HH	NO	Aug	2021	12097	
BS3-2897-HH-C	2897	none	BS3	MCAV	HH	NO	Nov	2021	2281	
BS3-2899-HD-C	2899	none	BS3	MCAV	HD	NO	Nov	2021	29453	
BS3-2899-HH-A	2899	none	BS3	MCAV	HH	NO	July	2021	3226	
BS3-2899-HH-B	2899	none	BS3	MCAV	HH	NO	Aug	2021	1527	
BS3-2899-HH-C	2899	none	BS3	MCAV	HH	NO	Nov	2021	2837	
BS3-SW1-7-30	seawater	seawater	BS3	seawater	seawater	seawater	July	2021	1484	
BS3-SW2-7-30	seawater	seawater	BS3	seawater	seawater	seawater	July	2021	499	
BS3-SWN-8-31	seawater	seawater	BS3	seawater	seawater	seawater	Aug	2021	2507	
BS3-SWN-11-4	seawater	seawater	BS3	seawater	seawater	seawater	Nov	2021	24763	
BS3-SWS-8-31	seawater	seawater	BS3	seawater	seawater	seawater	Aug	2021	17770	
BS3-SWS-11-4	seawater	seawater	BS3	seawater	seawater	seawater	Nov	2021	3640	
MK48-5-2452-DD-A	2452	probiotic paste and bag	MK48-5	MCAV	DD	YES	May	2021	33607	
MK48-5-2452-DD-B	2452	probiotic paste and bag	MK48-5	MCAV	DD	YES	Sept	2021	59860	
MK48-5-2452-HD-A	2452	probiotic paste and bag	MK48-5	MCAV	HD	YES	May	2021	5282	
MK48-5-2452-HD-B	2452	probiotic paste and bag	MK48-5	MCAV	HD	YES	Sept	2021	59374	
MK48-5-2454-DD-A	2454	probiotic paste and bag	MK48-5	MCAV	DD	YES	May	2021	34446	
MK48-5-2454-HD-A	2454	probiotic paste and bag	MK48-5	MCAV	HD	YES	May	2021	5130	
MK48-5-2454-HH-B	2454	probiotic paste and bag	MK48-5	MCAV	HH	YES	Sept	2021	41328	
MK48-5-2455-DD-B	2455	probiotic paste and bag	MK48-5	CNAT	DD	YES	Sept	2021	57879	
MK48-5-2455-HD-B	2455	probiotic paste and bag	MK48-5	CNAT	HD	YES	Sept	2021	42204	
MK48-5-2456-DD-A	2456	none	MK48-5	MCAV	DD	NO	May	2021	19387	
MK48-5-2456-DD-B	2456	none	MK48-5	MCAV	DD	NO	Sept	2021	58670	
MK48-5-2456-HD-A	2456	none	MK48-5	MCAV	HD	NO	May	2021	6704	
MK48-5-2456-HD-B	2456	none	MK48-5	MCAV	HD	NO	Sept	2021	27577	
MK48-5-2457-DD-A	2457	probiotic paste and bag	MK48-5	MCAV	DD	YES	May	2021	972	
MK48-5-2457-HD-A	2457	probiotic paste and bag	MK48-5	MCAV	HD	YES	May	2021	3844	
MK48-5-2457-HH-B	2457	probiotic paste and bag	MK48-5	MCAV	HH	YES	Sept	2021	55939	
MK48-5-2458-DD-A	2458	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	4283	
MK48-5-2458-DD-B	2458	control paste and bag	MK48-5	MCAV	DD	NO	Sept	2021	33298	
MK48-5-2458-HD-A	2458	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	2453	
MK48-5-2458-HD-B	2458	control paste and bag	MK48-5	MCAV	HD	NO	Sept	2021	42493	
MK48-5-2459-DD-A	2459	probiotic paste and bag	MK48-5	MCAV	DD	YES	May	2021	37007	
MK48-5-2459-DD-B	2459	probiotic paste and bag	MK48-5	MCAV	DD	YES	Sept	2021	32682	
MK48-5-2459-HD-B	2459	probiotic paste and bag	MK48-5	MCAV	HD	YES	Sept	2021	20168	
MK48-5-2461-DD-B	2461	probiotic paste and bag	MK48-5	CNAT	DD	YES	Sept	2021	23066	
MK48-5-2461-HD-B	2461	probiotic paste and bag	MK48-5	CNAT	HD	YES	Sept	2021	24066	
MK48-5-2462-DD-B	2462	probiotic paste and bag	MK48-5	MCAV	DD	YES	Sept	2021	39465	
MK48-5-2462-HD-B	2462	probiotic paste and bag	MK48-5	MCAV	HD	YES	Sept	2021	52009	
MK48-5-2463-DD-A	2463	none	MK48-5	MCAV	DD	NO	May	2021	40133	
MK48-5-2463-HD-A	2463	none	MK48-5	MCAV	HD	NO	May	2021	2189	
MK48-5-2465-DD-A	2465	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	51651	
MK48-5-2465-HD-A	2465	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	7883	
MK48-5-2465-HH-B	2465	control paste and bag	MK48-5	MCAV	HH	NO	Sept	2021	60698	
MK48-5-2467-DD-A	2467	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	20860	
MK48-5-2467-DD-B	2467	control paste and bag	MK48-5	MCAV	DD	NO	Sept	2021	23658	
MK48-5-2467-HD-A	2467	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	11513	
MK48-5-2468-DD-B	2468	probiotic paste and bag	MK48-5	CNAT	DD	YES	Sept	2021	34434	
MK48-5-2470-DD-B	2470	probiotic paste and bag	MK48-5	CNAT	DD	YES	Sept	2021	41620	
MK48-5-2470-HD-B	2470	probiotic paste and bag	MK48-5	CNAT	HD	YES	Sept	2021	27317	
MK48-5-2471-DD-A	2471	none	MK48-5	MCAV	DD	NO	May	2021	10196	
MK48-5-2471-DD-B	2471	none	MK48-5	MCAV	DD	NO	Sept	2021	13403	
MK48-5-2471-HD-A	2471	none	MK48-5	MCAV	HD	NO	May	2021	1130	
MK48-5-2472-DD-A	2472	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	5636	
MK48-5-2472-HD-A	2472	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	4404	
MK48-5-2473-DD-A	2473	probiotic paste and bag	MK48-5	MCAV	DD	YES	May	2021	11407	
MK48-5-2473-HD-A	2473	probiotic paste and bag	MK48-5	MCAV	HD	YES	May	2021	4830	
MK48-5-2473-HH-B	2473	probiotic paste and bag	MK48-5	MCAV	HH	YES	Sept	2021	76315	
MK48-5-2476-DD-B	2476	control paste and bag	MK48-5	CNAT	DD	NO	Sept	2021	54428	
MK48-5-2476-HD-B	2476	control paste and bag	MK48-5	CNAT	HD	NO	Sept	2021	35121	
MK48-5-2477-DD-B	2477	probiotic paste and bag	MK48-5	MCAV	DD	YES	Sept	2021	64346	
MK48-5-2477-HD-B	2477	probiotic paste and bag	MK48-5	MCAV	HD	YES	Sept	2021	2847	
MK48-5-2484-DD-A	2484	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	21425	
MK48-5-2484-DD-B	2484	control paste and bag	MK48-5	MCAV	DD	NO	Sept	2021	40812	
MK48-5-2484-HD-A	2484	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	5828	
MK48-5-2484-HD-B	2484	control paste and bag	MK48-5	MCAV	HD	NO	Sept	2021	55057	
MK48-5-2485-DD-A	2485	probiotic paste and bag	MK48-5	MCAV	DD	YES	May	2021	61186	
MK48-5-2485-DD-B	2485	probiotic paste and bag	MK48-5	MCAV	DD	YES	Sept	2021	50085	
MK48-5-2485-HD-A	2485	probiotic paste and bag	MK48-5	MCAV	HD	YES	May	2021	16374	
MK48-5-2485-HD-B	2485	probiotic paste and bag	MK48-5	MCAV	HD	YES	Sept	2021	46568	
MK48-5-2486-DD-A	2486	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	31271	
MK48-5-2486-DD-B	2486	control paste and bag	MK48-5	MCAV	DD	NO	Sept	2021	24944	
MK48-5-2486-HD-A	2486	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	7275	
MK48-5-2486-HD-B	2486	control paste and bag	MK48-5	MCAV	HD	NO	Sept	2021	39307	
MK48-5-2488-DD-B	2488	probiotic paste and bag	MK48-5	CNAT	DD	YES	Sept	2021	41024	
MK48-5-2488-HD-B	2488	probiotic paste and bag	MK48-5	CNAT	HD	YES	Sept	2021	43627	
MK48-5-2489-DD-B	2489	control paste and bag	MK48-5	CNAT	DD	NO	Sept	2021	28544	
MK48-5-2489-HD-B	2489	control paste and bag	MK48-5	CNAT	HD	NO	Sept	2021	23842	
MK48-5-2491-DD-A	2491	probiotic paste and bag	MK48-5	MCAV	DD	YES	May	2021	16920	
MK48-5-2491-DD-B	2491	probiotic paste and bag	MK48-5	MCAV	DD	YES	Sept	2021	37099	
MK48-5-2491-HD-A	2491	probiotic paste and bag	MK48-5	MCAV	HD	YES	May	2021	292	
MK48-5-2492-DD-A	2492	none	MK48-5	MCAV	DD	NO	May	2021	29384	
MK48-5-2492-DD-B	2492	none	MK48-5	MCAV	DD	NO	Sept	2021	42620	
MK48-5-2492-HD-A	2492	none	MK48-5	MCAV	HD	NO	May	2021	6727	
MK48-5-2493-DD-A	2493	none	MK48-5	MCAV	DD	NO	May	2021	10131	
MK48-5-2493-HD-A	2493	none	MK48-5	MCAV	HD	NO	May	2021	567	
MK48-5-2493-HH-B	2493	none	MK48-5	MCAV	HH	NO	Sept	2021	13708	
MK48-5-2494-DD-A	2494	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	47814	
MK48-5-2494-DD-B	2494	control paste and bag	MK48-5	MCAV	DD	NO	Sept	2021	72209	
MK48-5-2494-HD-A	2494	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	6649	
MK48-5-2494-HD-B	2494	control paste and bag	MK48-5	MCAV	HD	NO	Sept	2021	61974	
MK48-5-2495-H-A	2495	resistant	MK48-5	MCAV	H	NO	May	2021	59309	
MK48-5-2495-H-B	2495	resistant	MK48-5	MCAV	H	NO	Sept	2021	21239	
MK48-5-2496-DD-A	2496	probiotic paste and bag	MK48-5	MCAV	DD	YES	May	2021	44060	
MK48-5-2496-DD-B	2496	probiotic paste and bag	MK48-5	MCAV	DD	YES	Sept	2021	100912	
MK48-5-2496-HD-A	2496	probiotic paste and bag	MK48-5	MCAV	HD	YES	May	2021	1610	
MK48-5-2496-HD-B	2496	probiotic paste and bag	MK48-5	MCAV	HD	YES	Sept	2021	93723	
MK48-5-2601-DD-A	2601	control paste and bag	MK48-5	CNAT	DD	NO	May	2021	43358	
MK48-5-2601-HD-A	2601	control paste and bag	MK48-5	CNAT	HD	NO	May	2021	31289	
MK48-5-2601-HH-B	2601	control paste and bag	MK48-5	CNAT	HH	NO	Sept	2021	36558	
MK48-5-2602-DD-A	2602	probiotic paste and bag	MK48-5	MCAV	DD	YES	May	2021	13430	
MK48-5-2602-DD-AA	2602	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	23805	
MK48-5-2602-HD-A	2602	probiotic paste and bag	MK48-5	MCAV	HD	YES	May	2021	3963	
MK48-5-2602-HD-AA	2602	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	16602	
MK48-5-2603-DD-A	2603	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	345	
MK48-5-2603-HD-A	2603	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	13419	
MK48-5-2603-HH-B	2603	control paste and bag	MK48-5	MCAV	HH	NO	Sept	2021	72653	
MK48-5-2604-DD-B	2604	probiotic paste and bag	MK48-5	MCAV	DD	YES	Sept	2021	85782	
MK48-5-2604-HD-B	2604	probiotic paste and bag	MK48-5	MCAV	HD	YES	Sept	2021	60365	
MK48-5-2606-DD-B	2606	control paste and bag	MK48-5	CNAT	DD	NO	Sept	2021	31856	
MK48-5-2612-DD-B	2612	probiotic paste and bag	MK48-5	CNAT	DD	YES	Sept	2021	75527	
MK48-5-2612-HD-B	2612	probiotic paste and bag	MK48-5	CNAT	HD	YES	Sept	2021	44437	
MK48-5-2616-DD-B	2616	probiotic paste and bag	MK48-5	MCAV	DD	YES	Sept	2021	68071	
MK48-5-2616-HD-B	2616	probiotic paste and bag	MK48-5	MCAV	HD	YES	Sept	2021	52622	
MK48-5-2620-DD-A	2620	probiotic paste	MK48-5	CNAT	DD	YES	May	2021	17257	
MK48-5-2620-HD-A	2620	probiotic paste	MK48-5	CNAT	HD	YES	May	2021	19439	
MK48-5-2620-HH-B	2620	probiotic paste and bag	MK48-5	CNAT	HH	YES	Sept	2021	60785	
MK48-5-2621-HD-A	2621	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	27901	
MK48-5-2622-DD-A	2622	control paste and bag	MK48-5	CNAT	DD	NO	May	2021	16707	
MK48-5-2622-HD-A	2622	control paste and bag	MK48-5	CNAT	HD	NO	May	2021	21670	
MK48-5-2623-DD-B	2623	control paste and bag	MK48-5	CNAT	DD	NO	Sept	2021	60016	
MK48-5-2623-HD-B	2623	control paste and bag	MK48-5	CNAT	HD	NO	Sept	2021	71369	
MK48-5-2624-DD-B	2624	control paste and bag	MK48-5	MCAV	DD	NO	Sept	2021	62743	
MK48-5-2624-HD-B	2624	control paste and bag	MK48-5	MCAV	HD	NO	Sept	2021	61497	
MK48-5-2625-DD-A	2625	probiotic paste and bag	MK48-5	CNAT	DD	YES	May	2021	27880	
MK48-5-2625-HD-A	2625	probiotic paste and bag	MK48-5	CNAT	HD	YES	May	2021	21647	
MK48-5-2626-DD-A	2626	control paste and bag	MK48-5	MCAV	DD	NO	May	2021	61728	
MK48-5-2626-HD-A	2626	control paste and bag	MK48-5	MCAV	HD	NO	May	2021	55249	
MK48-5-2627-DD-A	2627	probiotic paste and bag	MK48-5	MCAV	DD	YES	May	2021	20533	
MK48-5-2627-DD-B	2627	probiotic paste and bag	MK48-5	MCAV	DD	YES	Sept	2021	106142	
MK48-5-2627-HD-A	2627	probiotic paste and bag	MK48-5	MCAV	HD	YES	May	2021	7035	
